#  Energy [MeV]      gamma [b]    neutron [b]     proton [b]      alpha [b]
   8.897202e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.008549e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.129808e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.261862e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.405672e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.562284e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.732839e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.918577e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.012085e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.034113e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.058102e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.084226e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.112677e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.143660e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.177401e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.214146e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.254162e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.297740e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.345198e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.396880e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.453164e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.514458e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.581209e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.653902e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.733066e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
