#  Energy [MeV]      gamma [b]    neutron [b]     proton [b]      alpha [b]
   1.063113e-01   6.976243e-12   0.000000e+00   0.000000e+00   0.000000e+00
   1.125912e-01   1.813854e-11   0.000000e+00   0.000000e+00   0.000000e+00
   1.194054e-01   4.680395e-11   0.000000e+00   0.000000e+00   0.000000e+00
   1.267993e-01   1.196979e-10   0.000000e+00   0.000000e+00   0.000000e+00
   1.348223e-01   3.028476e-10   0.000000e+00   0.000000e+00   0.000000e+00
   1.435279e-01   7.566798e-10   0.000000e+00   0.000000e+00   0.000000e+00
   1.529741e-01   1.864132e-09   0.000000e+00   0.000000e+00   0.000000e+00
   1.632240e-01   4.521507e-09   0.000000e+00   0.000000e+00   0.000000e+00
   1.743460e-01   1.078323e-08   0.000000e+00   0.000000e+00   0.000000e+00
   1.864142e-01   2.525358e-08   0.000000e+00   0.000000e+00   0.000000e+00
   1.995091e-01   5.800252e-08   0.000000e+00   0.000000e+00   0.000000e+00
   2.137181e-01   1.304580e-07   0.000000e+00   0.000000e+00   0.000000e+00
   2.291360e-01   2.867374e-07   0.000000e+00   0.000000e+00   0.000000e+00
   2.458656e-01   6.137308e-07   0.000000e+00   0.000000e+00   0.000000e+00
   2.640185e-01   1.272127e-06   0.000000e+00   0.000000e+00   0.000000e+00
   2.837158e-01   2.529542e-06   0.000000e+00   0.000000e+00   0.000000e+00
   3.050890e-01   4.768016e-06   0.000000e+00   0.000000e+00   0.000000e+00
   3.282805e-01   8.427694e-06   0.000000e+00   0.000000e+00   0.000000e+00
   3.534451e-01   1.389110e-05   0.000000e+00   0.000000e+00   0.000000e+00
   3.807507e-01   2.130518e-05   0.000000e+00   0.000000e+00   0.000000e+00
   4.103794e-01   3.026596e-05   0.000000e+00   0.000000e+00   0.000000e+00
   4.425289e-01   3.969563e-05   0.000000e+00   0.000000e+00   0.000000e+00
   4.774135e-01   4.889302e-05   0.000000e+00   0.000000e+00   0.000000e+00
   5.152661e-01   5.780349e-05   0.000000e+00   0.000000e+00   0.000000e+00
   5.563391e-01   6.620511e-05   0.000000e+00   0.000000e+00   0.000000e+00
   6.009065e-01   7.380557e-05   0.000000e+00   0.000000e+00   0.000000e+00
   6.492657e-01   8.063354e-05   0.000000e+00   0.000000e+00   0.000000e+00
   7.017391e-01   8.687994e-05   0.000000e+00   9.952268e-13   0.000000e+00
   7.586769e-01   9.260276e-05   0.000000e+00   4.997679e-10   0.000000e+00
   8.204588e-01   9.776287e-05   0.000000e+00   2.668569e-08   0.000000e+00
   8.874970e-01   1.024649e-04   0.000000e+00   4.410411e-07   0.000000e+00
   9.602387e-01   1.067290e-04   0.000000e+00   3.412136e-06   0.000000e+00
   1.039169e+00   1.104066e-04   0.000000e+00   1.571014e-05   0.000000e+00
   1.124815e+00   1.134360e-04   0.000000e+00   5.208682e-05   0.000000e+00
   1.217747e+00   1.160504e-04   0.000000e+00   1.379363e-04   0.000000e+00
   1.318586e+00   1.187204e-04   0.000000e+00   3.124492e-04   0.000000e+00
   1.428004e+00   1.218021e-04   0.000000e+00   6.440637e-04   0.000000e+00
   1.546731e+00   1.254119e-04   0.000000e+00   1.276306e-03   0.000000e+00
   1.675559e+00   1.295905e-04   0.000000e+00   2.475205e-03   0.000000e+00
   1.815347e+00   1.344699e-04   0.000000e+00   4.615321e-03   0.000000e+00
   1.967029e+00   1.402558e-04   0.000000e+00   8.108254e-03   0.000000e+00
   2.131615e+00   1.465486e-04   0.000000e+00   1.343244e-02   0.000000e+00
   2.310204e+00   1.524351e-04   0.000000e+00   2.168006e-02   0.000000e+00
   2.503987e+00   1.559151e-04   0.000000e+00   3.384668e-02   0.000000e+00
   2.714256e+00   1.580114e-04   0.000000e+00   5.168048e-02   0.000000e+00
   2.942415e+00   1.598162e-04   0.000000e+00   7.684874e-02   0.000000e+00
   3.189985e+00   1.616760e-04   0.000000e+00   1.095199e-01   0.000000e+00
   3.458618e+00   1.665273e-04   0.000000e+00   1.477877e-01   0.000000e+00
   3.515364e+00   1.675779e-04   0.000000e+00   1.561551e-01   0.000000e+00
   3.663480e+00   1.705109e-04   0.000000e+00   1.782893e-01   7.245308e-16
   4.050085e+00   1.783407e-04   0.000000e+00   2.375946e-01   3.499173e-10
   4.938093e+00   1.982655e-04   0.000000e+00   3.615527e-01   2.290127e-05
   5.008730e+00   1.998848e-04   0.000000e+00   3.714419e-01   3.708458e-05
   5.059185e+00   2.010207e-04   9.345283e-04   3.775324e-01   5.128930e-05
   5.076851e+00   1.989768e-04   7.839086e-03   3.757269e-01   5.643424e-05
   5.096466e+00   1.985225e-04   1.089697e-02   3.764318e-01   6.326500e-05
   5.118245e+00   1.983789e-04   1.344261e-02   3.776955e-01   7.177875e-05
   5.142427e+00   1.984184e-04   1.582492e-02   3.793361e-01   8.241443e-05
   5.169278e+00   1.986014e-04   1.816936e-02   3.813052e-01   9.579827e-05
   5.199091e+00   1.990879e-04   2.056121e-02   3.833614e-01   1.128911e-04
   5.232194e+00   1.995331e-04   2.297163e-02   3.859920e-01   1.347071e-04
   5.268949e+00   2.001202e-04   2.543542e-02   3.889845e-01   1.629869e-04
   5.309759e+00   2.008646e-04   2.794952e-02   3.923726e-01   2.000521e-04
   5.355072e+00   2.017872e-04   3.050230e-02   3.961962e-01   2.491822e-04
   5.405385e+00   2.029147e-04   3.307537e-02   4.004993e-01   3.150473e-04
   5.461250e+00   2.042793e-04   3.564503e-02   4.053288e-01   4.043451e-04
   5.523278e+00   2.055231e-04   3.912182e-02   4.100431e-01   5.264327e-04
   5.592150e+00   2.073414e-04   4.298177e-02   4.147291e-01   6.961908e-04
   5.668622e+00   2.089751e-04   4.632074e-02   4.209861e-01   9.307305e-04
   5.753531e+00   2.114880e-04   4.953147e-02   4.276558e-01   1.262438e-03
   5.847808e+00   2.145082e-04   5.255233e-02   4.350431e-01   1.732401e-03
   5.952488e+00   2.180854e-04   5.534201e-02   4.431488e-01   2.401061e-03
   6.068718e+00   2.189383e-04   6.188240e-02   4.489835e-01   3.342511e-03
   6.197772e+00   2.240409e-04   6.713202e-02   4.563576e-01   4.669043e-03
   6.341065e+00   2.290822e-04   7.162582e-02   4.641053e-01   6.551477e-03
   6.500169e+00   2.344866e-04   7.525568e-02   4.728412e-01   9.164922e-03
   6.676827e+00   2.401367e-04   7.971413e-02   4.806989e-01   1.272543e-02
