#  Energy [MeV]      gamma [b]    neutron [b]     proton [b]      alpha [b]
   5.000000e-01   1.072417e-12   0.000000e+00   0.000000e+00   3.255370e-15
   7.500000e-01   1.860414e-09   0.000000e+00   1.021903e-20   1.220817e-11
   1.000000e+00   1.467960e-07   0.000000e+00   7.592228e-15   1.880660e-09
   1.250000e+00   2.763257e-06   0.000000e+00   2.118679e-11   6.305766e-08
   1.500000e+00   2.259341e-05   0.000000e+00   4.367198e-09   8.482226e-07
   1.750000e+00   1.069168e-04   0.000000e+00   1.995208e-07   6.173864e-06
   2.000000e+00   3.361723e-04   0.000000e+00   3.379360e-06   2.862174e-05
   2.250000e+00   7.905556e-04   0.000000e+00   2.856787e-05   9.547749e-05
   2.500000e+00   1.483046e-03   0.000000e+00   1.474767e-04   2.507694e-04
   2.750000e+00   2.374205e-03   0.000000e+00   5.348260e-04   5.530886e-04
   3.000000e+00   3.399844e-03   0.000000e+00   1.503408e-03   1.072267e-03
   3.250000e+00   1.192816e-03   1.406083e-02   7.901999e-04   4.941194e-04
   3.500000e+00   6.809747e-04   2.634938e-02   8.612243e-04   4.329415e-04
   3.750000e+00   6.891785e-04   3.969636e-02   1.472014e-03   6.109150e-04
   4.000000e+00   7.125418e-04   5.653742e-02   2.345185e-03   8.504884e-04
