#  Energy [MeV]      gamma [b]    neutron [b]     proton [b]      alpha [b]
   5.000000e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.000000e+00   6.367346e-10   0.000000e+00   0.000000e+00   0.000000e+00
   1.500000e+00   4.337159e-07   0.000000e+00   5.765880e-20   3.177379e-19
   2.000000e+00   1.855162e-05   0.000000e+00   8.026281e-13   1.680988e-15
   2.500000e+00   1.982540e-04   0.000000e+00   2.767684e-09   7.538482e-13
   3.000000e+00   9.346115e-04   0.000000e+00   4.331140e-07   6.704748e-11
   3.500000e+00   2.729180e-03   0.000000e+00   1.492858e-05   2.099229e-09
   4.000000e+00   4.693220e-03   2.175648e-03   1.186847e-04   2.800739e-08
   4.500000e+00   3.484514e-03   2.131478e-02   3.632744e-04   8.404786e-08
   5.000000e+00   3.217965e-03   4.957801e-02   8.698902e-04   3.389439e-07
   5.500000e+00   3.273401e-03   8.983078e-02   1.699891e-03   1.211314e-06
   6.000000e+00   3.587909e-03   1.403697e-01   2.993608e-03   3.697593e-06
   6.500000e+00   4.408513e-03   1.972487e-01   5.324128e-03   1.040916e-05
   7.000000e+00   4.460800e-03   2.626959e-01   7.343785e-03   2.129795e-05
   7.500000e+00   3.591803e-03   3.333910e-01   7.766219e-03   3.013779e-05
   8.000000e+00   3.024867e-03   4.006316e-01   8.436482e-03   4.033919e-05
   8.500000e+00   2.675900e-03   4.635369e-01   9.563308e-03   5.266183e-05
   9.000000e+00   2.449855e-03   5.218150e-01   1.115395e-02   6.718177e-05
   9.500000e+00   2.289893e-03   5.754364e-01   1.313662e-02   8.381747e-05
   1.000000e+01   2.148622e-03   6.210275e-01   1.531756e-02   1.024172e-04
   1.050000e+01   2.055850e-03   6.658910e-01   1.773021e-02   1.246098e-04
   1.100000e+01   1.972447e-03   7.069538e-01   2.018832e-02   1.514185e-04
   1.150000e+01   1.900199e-03   7.445689e-01   2.261111e-02   1.846146e-04
   1.200000e+01   1.836463e-03   7.790682e-01   2.494787e-02   2.262124e-04
   1.250000e+01   1.779380e-03   8.107518e-01   2.717331e-02   2.783543e-04
