#  Energy [MeV]      gamma [b]    neutron [b]     proton [b]      alpha [b]
   4.930952e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   5.084522e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   5.263210e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   5.471125e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   5.713047e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   5.994537e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   6.322070e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   6.703174e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   7.146611e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   7.662579e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   8.262939e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   8.961495e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.774308e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.072007e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.182052e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.310096e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.459083e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.632438e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.834148e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   2.068851e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   2.341941e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   2.659699e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   3.029429e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   3.459634e-01   2.145242e-16   0.000000e+00   0.000000e+00   3.747910e-19
   3.960204e-01   6.744608e-15   0.000000e+00   0.000000e+00   1.413351e-17
   4.542647e-01   1.431628e-13   0.000000e+00   0.000000e+00   3.728700e-16
   5.220356e-01   2.569572e-12   0.000000e+00   0.000000e+00   8.382244e-15
   6.008913e-01   3.865937e-11   0.000000e+00   0.000000e+00   1.622658e-13
   6.926447e-01   4.887794e-10   0.000000e+00   7.782704e-23   2.712838e-12
   7.994055e-01   5.212488e-09   0.000000e+00   3.110517e-19   3.934270e-11
   9.236283e-01   4.711554e-08   0.000000e+00   2.817611e-16   4.970534e-10
   1.068169e+00   3.627611e-07   0.000000e+00   9.533001e-14   5.487817e-09
   1.236352e+00   2.414680e-06   0.000000e+00   1.492356e-11   5.350707e-08
   1.432042e+00   1.358004e-05   0.000000e+00   1.230019e-09   4.485657e-07
   1.659740e+00   6.429735e-05   0.000000e+00   5.737312e-08   3.199535e-06
   1.924681e+00   2.476670e-04   0.000000e+00   1.567747e-06   1.875900e-05
   2.232956e+00   7.518990e-04   0.000000e+00   2.513573e-05   8.869498e-05
   2.591652e+00   1.789997e-03   0.000000e+00   2.449320e-04   3.410452e-04
   2.958935e+00   3.224722e-03   0.000000e+00   1.286980e-03   9.689139e-04
   2.988150e+00   3.349091e-03   0.000000e+00   1.438220e-03   1.041645e-03
   3.009018e+00   3.300220e-03   3.797524e-04   1.501008e-03   1.069572e-03
   3.011835e+00   2.876944e-03   1.604017e-03   1.333181e-03   9.924742e-04
   3.015014e+00   2.775500e-03   1.945481e-03   1.302509e-03   9.767965e-04
   3.018603e+00   2.686583e-03   2.259600e-03   1.278667e-03   9.631415e-04
   3.022654e+00   2.598474e-03   2.578800e-03   1.256201e-03   9.492558e-04
   3.027227e+00   2.509266e-03   2.909592e-03   1.233980e-03   9.346354e-04
   3.032390e+00   2.419722e-03   3.252999e-03   1.212076e-03   9.193292e-04
   3.038217e+00   2.331414e-03   3.608808e-03   1.191051e-03   9.037441e-04
   3.044796e+00   2.245892e-03   3.976728e-03   1.171639e-03   8.885119e-04
   3.052221e+00   2.164445e-03   4.356775e-03   1.154630e-03   8.743254e-04
   3.060604e+00   2.077438e-03   4.749555e-03   1.140830e-03   8.618043e-04
   3.070067e+00   2.007175e-03   5.156470e-03   1.131051e-03   8.514491e-04
   3.080748e+00   1.952976e-03   5.579865e-03   1.126110e-03   8.436601e-04
   3.092806e+00   1.885175e-03   6.023231e-03   1.126834e-03   8.387730e-04
   3.106418e+00   1.656769e-03   7.542905e-03   9.333134e-04   6.507998e-04
   3.121783e+00   1.559171e-03   8.369872e-03   8.846896e-04   6.099464e-04
   3.139128e+00   1.480885e-03   9.178221e-03   8.541844e-04   5.829133e-04
   3.158707e+00   1.417053e-03   1.000159e-02   8.379088e-04   5.638630e-04
   3.180809e+00   1.365335e-03   1.086247e-02   8.351919e-04   5.519504e-04
   3.205758e+00   1.324185e-03   1.178405e-02   8.461120e-04   5.470267e-04
   3.233922e+00   1.292729e-03   1.279178e-02   8.714089e-04   5.491133e-04
   3.265715e+00   1.145005e-03   1.492621e-02   7.644722e-04   4.728750e-04
   3.301603e+00   1.080605e-03   1.657675e-02   7.586776e-04   4.552256e-04
   3.342116e+00   1.052087e-03   1.831430e-02   7.856597e-04   4.540521e-04
   3.387848e+00   1.013975e-03   2.044422e-02   8.079740e-04   4.486182e-04
   3.439472e+00   7.818313e-04   2.327809e-02   8.052668e-04   4.256536e-04
   3.497747e+00   6.865055e-04   2.623605e-02   8.583341e-04   4.323033e-04
   3.563530e+00   6.515642e-04   2.956969e-02   9.634055e-04   4.594954e-04
   3.637788e+00   6.509524e-04   3.345967e-02   1.128802e-03   5.078036e-04
   3.721614e+00   6.762727e-04   3.807495e-02   1.374058e-03   5.814996e-04
   3.816240e+00   7.261054e-04   4.359736e-02   1.732569e-03   6.885380e-04
   3.923057e+00   7.113976e-04   5.089170e-02   2.073141e-03   7.748760e-04
   4.043636e+00   7.186256e-04   5.991813e-02   2.499217e-03   8.840418e-04
   4.179751e+00   7.446173e-04   7.100388e-02   3.083747e-03   1.024635e-03
   4.333402e+00   7.376819e-04   8.509395e-02   3.690399e-03   1.164720e-03
   4.506849e+00   7.441139e-04   1.022833e-01   4.518579e-03   1.350262e-03
   4.702643e+00   7.603527e-04   1.232936e-01   5.581034e-03   1.582409e-03
   4.923662e+00   8.241620e-04   1.483279e-01   7.155741e-03   1.925497e-03
   5.173157e+00   8.805420e-04   1.784100e-01   9.090866e-03   2.350701e-03
   5.772722e+00   1.054632e-03   2.535514e-01   1.526754e-02   3.757540e-03
   6.994052e+00   1.371569e-03   4.003367e-01   3.202362e-02   7.823171e-03
   8.750874e+00   1.433605e-03   5.622981e-01   5.775235e-02   1.268932e-02
   1.127797e+01   1.282037e-03   7.154825e-01   8.978408e-02   1.552119e-02
   1.491308e+01   1.127206e-03   8.287129e-01   1.227892e-01   2.306335e-02
   2.014200e+01   1.039071e-03   8.939665e-01   1.556368e-01   3.483946e-02
   2.484714e+01   1.012495e-03   9.122128e-01   1.769074e-01   4.338822e-02
