#  Energy [MeV]      gamma [b]    neutron [b]     proton [b]      alpha [b]
   5.000000e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   7.500000e-01   1.577427e-13   0.000000e+00   0.000000e+00   0.000000e+00
   1.000000e+00   6.865084e-11   0.000000e+00   0.000000e+00   0.000000e+00
   1.250000e+00   4.100394e-09   0.000000e+00   0.000000e+00   0.000000e+00
   1.500000e+00   8.037752e-08   0.000000e+00   0.000000e+00   0.000000e+00
   1.750000e+00   7.562280e-07   0.000000e+00   0.000000e+00   0.000000e+00
   2.000000e+00   4.035449e-06   0.000000e+00   0.000000e+00   0.000000e+00
   2.250000e+00   1.434325e-05   0.000000e+00   7.345680e-15   0.000000e+00
   2.500000e+00   3.749483e-05   0.000000e+00   8.989307e-12   0.000000e+00
   2.750000e+00   8.008258e-05   0.000000e+00   1.087105e-09   0.000000e+00
   3.000000e+00   1.497222e-04   0.000000e+00   3.527852e-08   0.000000e+00
   3.250000e+00   2.565891e-04   0.000000e+00   5.006534e-07   0.000000e+00
   3.500000e+00   4.119394e-04   0.000000e+00   4.028365e-06   0.000000e+00
   3.750000e+00   6.266424e-04   0.000000e+00   2.136360e-05   0.000000e+00
   4.000000e+00   9.118182e-04   0.000000e+00   8.247802e-05   0.000000e+00
   4.250000e+00   1.277530e-03   0.000000e+00   2.496104e-04   0.000000e+00
   4.500000e+00   1.731602e-03   0.000000e+00   6.286572e-04   0.000000e+00
   4.750000e+00   2.278898e-03   0.000000e+00   1.380393e-03   3.510917e-16
   5.000000e+00   2.919920e-03   0.000000e+00   2.732807e-03   6.255483e-15
   5.250000e+00   3.650122e-03   0.000000e+00   4.992437e-03   7.247360e-14
   5.500000e+00   4.461624e-03   0.000000e+00   8.552131e-03   6.456909e-13
   5.750000e+00   5.321652e-03   0.000000e+00   1.389211e-02   4.596548e-12
   6.000000e+00   6.302836e-03   0.000000e+00   2.156815e-02   2.697542e-11
   6.250000e+00   7.326906e-03   0.000000e+00   3.218044e-02   1.339689e-10
   6.500000e+00   8.416610e-03   0.000000e+00   4.631859e-02   5.751679e-10
   6.750000e+00   9.563964e-03   0.000000e+00   6.448013e-02   2.171757e-09
   7.000000e+00   1.075336e-02   0.000000e+00   8.696385e-02   7.311653e-09
   7.250000e+00   1.196186e-02   0.000000e+00   1.137687e-01   2.219384e-08
   7.500000e+00   1.316217e-02   0.000000e+00   1.445604e-01   6.131795e-08
   7.750000e+00   1.432874e-02   0.000000e+00   1.787322e-01   1.555361e-07
   8.000000e+00   1.543977e-02   0.000000e+00   2.155092e-01   3.651084e-07
   8.250000e+00   1.647755e-02   0.000000e+00   2.540398e-01   7.988660e-07
   8.500000e+00   1.742857e-02   0.000000e+00   2.934742e-01   1.639599e-06
   8.750000e+00   1.828194e-02   3.293500e-06   3.330339e-01   3.174149e-06
   9.000000e+00   1.884695e-02   2.973127e-03   3.694114e-01   5.770211e-06
   9.250000e+00   1.866075e-02   1.996114e-02   3.926302e-01   9.696693e-06
   9.500000e+00   1.782323e-02   5.517658e-02   3.984777e-01   1.507907e-05
   9.750000e+00   1.769896e-02   7.224934e-02   4.174819e-01   2.347882e-05
   1.000000e+01   1.742780e-02   9.149299e-02   4.324350e-01   3.506064e-05
   1.025000e+01   1.709057e-02   1.106668e-01   4.453422e-01   5.062121e-05
   1.050000e+01   1.618521e-02   1.437569e-01   4.432559e-01   6.876066e-05
   1.075000e+01   1.504574e-02   1.795855e-01   4.333008e-01   8.947756e-05
   1.100000e+01   1.403158e-02   2.153464e-01   4.246556e-01   1.141766e-04
   1.125000e+01   1.310327e-02   2.486416e-01   4.167121e-01   1.429551e-04
   1.150000e+01   1.227032e-02   2.791265e-01   4.100200e-01   1.762673e-04
   1.175000e+01   1.152431e-02   3.069714e-01   4.046000e-01   2.145387e-04
