# fe1_the_008_017_photoabs_h_SMLO.dat                    
#
# Z =  8, A = 17
#
# Parameters:  Er1 = 23.460,  Wr1 =  5.950,  S1 =   0.783,  beta=  0.116
# No. of entries:  300
# Col 1: photon energy E in MeV
# Col 2-11: E1 photoabsorption PSF (fe1 in MeV^-3) for nucleus at the temperatures T=0-2 MeV
# Format: f9.3, 11e12.3
# Authors:  V.A.Plujko, O.M. Gorbachenko, K.M. Solodovnyk (TSNU)
#   E         T=0.0       T=0.2       T=0.4       T=0.6       T=0.8       T=1.0       T=1.2       T=1.4       T=1.6       T=1.8       T=2.0
    0.100   0.920E-13   0.391E-12   0.154E-11   0.423E-11   0.922E-11   0.172E-10   0.290E-10   0.454E-10   0.669E-10   0.945E-10   0.129E-09
    0.200   0.368E-12   0.778E-12   0.219E-11   0.523E-11   0.106E-10   0.191E-10   0.314E-10   0.484E-10   0.706E-10   0.989E-10   0.134E-09
    0.300   0.828E-12   0.131E-11   0.298E-11   0.636E-11   0.122E-10   0.211E-10   0.340E-10   0.515E-10   0.744E-10   0.103E-09   0.139E-09
    0.400   0.147E-11   0.199E-11   0.390E-11   0.761E-11   0.138E-10   0.233E-10   0.367E-10   0.548E-10   0.784E-10   0.108E-09   0.145E-09
    0.500   0.230E-11   0.285E-11   0.496E-11   0.900E-11   0.156E-10   0.255E-10   0.395E-10   0.582E-10   0.825E-10   0.113E-09   0.151E-09
    0.600   0.332E-11   0.388E-11   0.618E-11   0.105E-10   0.176E-10   0.280E-10   0.425E-10   0.618E-10   0.867E-10   0.118E-09   0.156E-09
    0.700   0.452E-11   0.510E-11   0.757E-11   0.122E-10   0.197E-10   0.305E-10   0.456E-10   0.656E-10   0.912E-10   0.123E-09   0.162E-09
    0.800   0.590E-11   0.652E-11   0.912E-11   0.141E-10   0.219E-10   0.333E-10   0.489E-10   0.695E-10   0.958E-10   0.129E-09   0.169E-09
    0.900   0.747E-11   0.812E-11   0.109E-10   0.161E-10   0.243E-10   0.361E-10   0.523E-10   0.735E-10   0.101E-09   0.134E-09   0.175E-09
    1.000   0.923E-11   0.992E-11   0.128E-10   0.183E-10   0.269E-10   0.392E-10   0.559E-10   0.777E-10   0.105E-09   0.140E-09   0.181E-09
    1.100   0.112E-10   0.119E-10   0.149E-10   0.206E-10   0.296E-10   0.424E-10   0.597E-10   0.821E-10   0.111E-09   0.146E-09   0.188E-09
    1.200   0.133E-10   0.141E-10   0.172E-10   0.232E-10   0.325E-10   0.458E-10   0.636E-10   0.867E-10   0.116E-09   0.152E-09   0.195E-09
    1.300   0.156E-10   0.165E-10   0.196E-10   0.259E-10   0.356E-10   0.493E-10   0.677E-10   0.915E-10   0.121E-09   0.158E-09   0.202E-09
    1.400   0.182E-10   0.191E-10   0.223E-10   0.288E-10   0.389E-10   0.531E-10   0.720E-10   0.964E-10   0.127E-09   0.164E-09   0.210E-09
    1.500   0.209E-10   0.218E-10   0.252E-10   0.319E-10   0.423E-10   0.570E-10   0.765E-10   0.102E-09   0.133E-09   0.171E-09   0.217E-09
    1.600   0.238E-10   0.248E-10   0.283E-10   0.352E-10   0.460E-10   0.611E-10   0.812E-10   0.107E-09   0.139E-09   0.178E-09   0.225E-09
    1.700   0.269E-10   0.279E-10   0.316E-10   0.387E-10   0.498E-10   0.654E-10   0.860E-10   0.112E-09   0.145E-09   0.185E-09   0.233E-09
    1.800   0.302E-10   0.313E-10   0.351E-10   0.424E-10   0.539E-10   0.699E-10   0.911E-10   0.118E-09   0.152E-09   0.192E-09   0.241E-09
    1.900   0.337E-10   0.348E-10   0.388E-10   0.463E-10   0.581E-10   0.746E-10   0.963E-10   0.124E-09   0.158E-09   0.200E-09   0.249E-09
    2.000   0.373E-10   0.386E-10   0.427E-10   0.504E-10   0.626E-10   0.795E-10   0.102E-09   0.130E-09   0.165E-09   0.207E-09   0.258E-09
    2.100   0.412E-10   0.426E-10   0.468E-10   0.548E-10   0.672E-10   0.846E-10   0.107E-09   0.136E-09   0.172E-09   0.215E-09   0.267E-09
    2.200   0.453E-10   0.467E-10   0.511E-10   0.593E-10   0.721E-10   0.900E-10   0.113E-09   0.143E-09   0.179E-09   0.223E-09   0.276E-09
    2.300   0.496E-10   0.511E-10   0.556E-10   0.641E-10   0.772E-10   0.955E-10   0.119E-09   0.150E-09   0.187E-09   0.232E-09   0.285E-09
    2.400   0.541E-10   0.556E-10   0.603E-10   0.690E-10   0.825E-10   0.101E-09   0.126E-09   0.157E-09   0.195E-09   0.240E-09   0.295E-09
    2.500   0.588E-10   0.604E-10   0.653E-10   0.742E-10   0.880E-10   0.107E-09   0.132E-09   0.164E-09   0.203E-09   0.249E-09   0.304E-09
    2.600   0.637E-10   0.654E-10   0.705E-10   0.796E-10   0.938E-10   0.113E-09   0.139E-09   0.171E-09   0.211E-09   0.258E-09   0.314E-09
    2.700   0.689E-10   0.706E-10   0.758E-10   0.853E-10   0.998E-10   0.120E-09   0.146E-09   0.179E-09   0.219E-09   0.268E-09   0.325E-09
    2.800   0.742E-10   0.760E-10   0.814E-10   0.911E-10   0.106E-09   0.127E-09   0.153E-09   0.187E-09   0.228E-09   0.277E-09   0.335E-09
    2.900   0.798E-10   0.816E-10   0.873E-10   0.972E-10   0.112E-09   0.133E-09   0.161E-09   0.195E-09   0.237E-09   0.287E-09   0.346E-09
    3.000   0.856E-10   0.875E-10   0.933E-10   0.104E-09   0.119E-09   0.141E-09   0.169E-09   0.204E-09   0.246E-09   0.297E-09   0.357E-09
    3.100   0.916E-10   0.936E-10   0.996E-10   0.110E-09   0.126E-09   0.148E-09   0.176E-09   0.212E-09   0.256E-09   0.308E-09   0.369E-09
