# fe1_the_009_019_photoabs_h_SMLO.dat                    
#
# Z =  9, A = 19
#
# Parameters:  Er1 = 24.090,  Wr1 = 24.690,  S1 =   2.038,  beta=  0.378
# No. of entries:  300
# Col 1: photon energy E in MeV
# Col 2-11: E1 photoabsorption PSF (fe1 in MeV^-3) for nucleus at the temperatures T=0-2 MeV
# Format: f9.3, 11e12.3
# Authors:  V.A.Plujko, O.M. Gorbachenko, K.M. Solodovnyk (TSNU)
#   E         T=0.0       T=0.2       T=0.4       T=0.6       T=0.8       T=1.0       T=1.2       T=1.4       T=1.6       T=1.8       T=2.0
    0.100   0.973E-12   0.410E-11   0.159E-10   0.437E-10   0.952E-10   0.178E-09   0.299E-09   0.468E-09   0.690E-09   0.974E-09   0.133E-08
    0.200   0.389E-11   0.818E-11   0.229E-10   0.543E-10   0.110E-09   0.198E-09   0.325E-09   0.499E-09   0.728E-09   0.102E-08   0.138E-08
    0.300   0.876E-11   0.137E-10   0.311E-10   0.661E-10   0.126E-09   0.219E-09   0.351E-09   0.532E-09   0.768E-09   0.107E-08   0.144E-08
    0.400   0.156E-10   0.210E-10   0.408E-10   0.793E-10   0.143E-09   0.241E-09   0.379E-09   0.566E-09   0.809E-09   0.112E-08   0.149E-08
    0.500   0.244E-10   0.300E-10   0.520E-10   0.939E-10   0.162E-09   0.265E-09   0.409E-09   0.602E-09   0.852E-09   0.117E-08   0.155E-08
    0.600   0.351E-10   0.410E-10   0.649E-10   0.110E-09   0.183E-09   0.290E-09   0.440E-09   0.640E-09   0.897E-09   0.122E-08   0.161E-08
    0.700   0.478E-10   0.539E-10   0.795E-10   0.128E-09   0.205E-09   0.317E-09   0.473E-09   0.679E-09   0.943E-09   0.127E-08   0.168E-08
    0.800   0.624E-10   0.688E-10   0.959E-10   0.147E-09   0.228E-09   0.346E-09   0.507E-09   0.719E-09   0.991E-09   0.133E-08   0.174E-08
    0.900   0.791E-10   0.858E-10   0.114E-09   0.168E-09   0.253E-09   0.376E-09   0.543E-09   0.762E-09   0.104E-08   0.139E-08   0.181E-08
    1.000   0.977E-10   0.105E-09   0.134E-09   0.191E-09   0.280E-09   0.408E-09   0.580E-09   0.806E-09   0.109E-08   0.145E-08   0.188E-08
    1.100   0.118E-09   0.126E-09   0.156E-09   0.216E-09   0.309E-09   0.441E-09   0.620E-09   0.852E-09   0.115E-08   0.151E-08   0.195E-08
    1.200   0.141E-09   0.149E-09   0.181E-09   0.243E-09   0.340E-09   0.477E-09   0.661E-09   0.900E-09   0.120E-08   0.157E-08   0.202E-08
    1.300   0.165E-09   0.174E-09   0.207E-09   0.272E-09   0.372E-09   0.514E-09   0.704E-09   0.949E-09   0.126E-08   0.164E-08   0.209E-08
    1.400   0.192E-09   0.201E-09   0.235E-09   0.302E-09   0.407E-09   0.553E-09   0.749E-09   0.100E-08   0.132E-08   0.170E-08   0.217E-08
    1.500   0.221E-09   0.230E-09   0.266E-09   0.335E-09   0.443E-09   0.594E-09   0.796E-09   0.105E-08   0.138E-08   0.177E-08   0.225E-08
    1.600   0.251E-09   0.262E-09   0.298E-09   0.370E-09   0.481E-09   0.638E-09   0.845E-09   0.111E-08   0.144E-08   0.184E-08   0.233E-08
    1.700   0.284E-09   0.295E-09   0.333E-09   0.407E-09   0.522E-09   0.683E-09   0.896E-09   0.117E-08   0.151E-08   0.192E-08   0.241E-08
    1.800   0.319E-09   0.331E-09   0.369E-09   0.446E-09   0.564E-09   0.730E-09   0.949E-09   0.123E-08   0.157E-08   0.199E-08   0.249E-08
    1.900   0.356E-09   0.368E-09   0.408E-09   0.487E-09   0.609E-09   0.779E-09   0.100E-08   0.129E-08   0.164E-08   0.207E-08   0.258E-08
    2.000   0.395E-09   0.408E-09   0.450E-09   0.530E-09   0.656E-09   0.831E-09   0.106E-08   0.135E-08   0.171E-08   0.215E-08   0.267E-08
    2.100   0.436E-09   0.449E-09   0.493E-09   0.576E-09   0.704E-09   0.884E-09   0.112E-08   0.142E-08   0.179E-08   0.223E-08   0.276E-08
