# fe1_the_009_022_photoabs_h_SMLO.dat                    
#
# Z =  9, A = 22
#
# Parameters:  Er1 = 19.089,  Wr1 =  5.970,  S1 =   0.400,  Er2 = 24.005,  Wr2 =  7.337,  S2 =   0.800,  beta=  0.273
# No. of entries:  300
# Col 1: photon energy E in MeV
# Col 2-11: E1 photoabsorption PSF (fe1 in MeV^-3) for nucleus at the temperatures T=0-2 MeV
# Format: f9.3, 11e12.3
# Authors:  V.A.Plujko, O.M. Gorbachenko, K.M. Solodovnyk (TSNU)
#   E         T=0.0       T=0.2       T=0.4       T=0.6       T=0.8       T=1.0       T=1.2       T=1.4       T=1.6       T=1.8       T=2.0
    0.100   0.296E-12   0.132E-11   0.536E-11   0.150E-10   0.328E-10   0.616E-10   0.104E-09   0.163E-09   0.240E-09   0.339E-09   0.463E-09
    0.200   0.118E-11   0.258E-11   0.754E-11   0.183E-10   0.376E-10   0.680E-10   0.112E-09   0.173E-09   0.253E-09   0.354E-09   0.480E-09
    0.300   0.266E-11   0.429E-11   0.101E-10   0.221E-10   0.427E-10   0.747E-10   0.121E-09   0.184E-09   0.266E-09   0.370E-09   0.499E-09
    0.400   0.474E-11   0.651E-11   0.131E-10   0.262E-10   0.483E-10   0.820E-10   0.130E-09   0.195E-09   0.279E-09   0.386E-09   0.518E-09
    0.500   0.740E-11   0.928E-11   0.166E-10   0.308E-10   0.543E-10   0.896E-10   0.139E-09   0.207E-09   0.293E-09   0.403E-09   0.537E-09
    0.600   0.107E-10   0.126E-10   0.206E-10   0.359E-10   0.608E-10   0.978E-10   0.150E-09   0.219E-09   0.308E-09   0.420E-09   0.557E-09
    0.700   0.145E-10   0.166E-10   0.251E-10   0.415E-10   0.678E-10   0.106E-09   0.160E-09   0.231E-09   0.323E-09   0.438E-09   0.578E-09
    0.800   0.190E-10   0.212E-10   0.302E-10   0.476E-10   0.753E-10   0.116E-09   0.171E-09   0.245E-09   0.339E-09   0.456E-09   0.600E-09
    0.900   0.240E-10   0.263E-10   0.359E-10   0.543E-10   0.833E-10   0.125E-09   0.183E-09   0.259E-09   0.355E-09   0.475E-09   0.621E-09
    1.000   0.297E-10   0.322E-10   0.421E-10   0.615E-10   0.918E-10   0.135E-09   0.195E-09   0.273E-09   0.372E-09   0.495E-09   0.644E-09
    1.100   0.360E-10   0.386E-10   0.490E-10   0.692E-10   0.101E-09   0.146E-09   0.208E-09   0.288E-09   0.389E-09   0.515E-09   0.667E-09
    1.200   0.429E-10   0.457E-10   0.564E-10   0.776E-10   0.111E-09   0.158E-09   0.221E-09   0.303E-09   0.408E-09   0.536E-09   0.691E-09
    1.300   0.504E-10   0.534E-10   0.645E-10   0.865E-10   0.121E-09   0.170E-09   0.235E-09   0.320E-09   0.426E-09   0.557E-09   0.716E-09
    1.400   0.585E-10   0.617E-10   0.733E-10   0.961E-10   0.132E-09   0.182E-09   0.249E-09   0.336E-09   0.446E-09   0.580E-09   0.741E-09
    1.500   0.672E-10   0.707E-10   0.827E-10   0.106E-09   0.143E-09   0.195E-09   0.265E-09   0.354E-09   0.466E-09   0.602E-09   0.767E-09
    1.600   0.766E-10   0.802E-10   0.927E-10   0.117E-09   0.155E-09   0.209E-09   0.280E-09   0.372E-09   0.486E-09   0.626E-09   0.794E-09
    1.700   0.866E-10   0.905E-10   0.103E-09   0.129E-09   0.168E-09   0.223E-09   0.297E-09   0.391E-09   0.508E-09   0.650E-09   0.821E-09
    1.800   0.973E-10   0.101E-09   0.115E-09   0.141E-09   0.182E-09   0.238E-09   0.314E-09   0.410E-09   0.530E-09   0.675E-09   0.850E-09
    1.900   0.109E-09   0.113E-09   0.127E-09   0.154E-09   0.196E-09   0.254E-09   0.332E-09   0.430E-09   0.552E-09   0.701E-09   0.879E-09
    2.000   0.121E-09   0.125E-09   0.140E-09   0.167E-09   0.210E-09   0.271E-09   0.350E-09   0.451E-09   0.576E-09   0.728E-09   0.908E-09
    2.100   0.133E-09   0.138E-09   0.153E-09   0.182E-09   0.226E-09   0.288E-09   0.369E-09   0.472E-09   0.600E-09   0.755E-09   0.939E-09
    2.200   0.146E-09   0.151E-09   0.167E-09   0.197E-09   0.242E-09   0.306E-09   0.389E-09   0.495E-09   0.625E-09   0.783E-09   0.971E-09
    2.300   0.160E-09   0.166E-09   0.182E-09   0.212E-09   0.259E-09   0.324E-09   0.410E-09   0.518E-09   0.651E-09   0.812E-09   0.100E-08
    2.400   0.175E-09   0.180E-09   0.197E-09   0.229E-09   0.277E-09   0.343E-09   0.431E-09   0.542E-09   0.678E-09   0.841E-09   0.104E-08
    2.500   0.190E-09   0.196E-09   0.214E-09   0.246E-09   0.295E-09   0.363E-09   0.453E-09   0.566E-09   0.705E-09   0.872E-09   0.107E-08
    2.600   0.206E-09   0.212E-09   0.231E-09   0.264E-09   0.314E-09   0.384E-09   0.476E-09   0.592E-09   0.733E-09   0.903E-09   0.110E-08
    2.700   0.223E-09   0.229E-09   0.248E-09   0.282E-09   0.334E-09   0.406E-09   0.500E-09   0.618E-09   0.762E-09   0.936E-09   0.114E-08
    2.800   0.240E-09   0.247E-09   0.267E-09   0.302E-09   0.355E-09   0.428E-09   0.524E-09   0.645E-09   0.792E-09   0.969E-09   0.118E-08
    2.900   0.259E-09   0.265E-09   0.286E-09   0.322E-09   0.376E-09   0.451E-09   0.550E-09   0.673E-09   0.823E-09   0.100E-08   0.122E-08
    3.000   0.278E-09   0.285E-09   0.306E-09   0.343E-09   0.398E-09   0.476E-09   0.576E-09   0.701E-09   0.855E-09   0.104E-08   0.125E-08
    3.100   0.297E-09   0.304E-09   0.326E-09   0.364E-09   0.422E-09   0.500E-09   0.603E-09   0.731E-09   0.887E-09   0.107E-08   0.129E-08
    3.200   0.318E-09   0.325E-09   0.348E-09   0.387E-09   0.445E-09   0.526E-09   0.631E-09   0.762E-09   0.921E-09   0.111E-08   0.133E-08
    3.300   0.339E-09   0.347E-09   0.370E-09   0.410E-09   0.470E-09   0.553E-09   0.660E-09   0.793E-09   0.955E-09   0.115E-08   0.138E-08
    3.400   0.361E-09   0.369E-09   0.393E-09   0.434E-09   0.496E-09   0.580E-09   0.689E-09   0.825E-09   0.991E-09   0.119E-08   0.142E-08
    3.500   0.384E-09   0.392E-09   0.417E-09   0.459E-09   0.522E-09   0.609E-09   0.720E-09   0.859E-09   0.103E-08   0.123E-08   0.146E-08
    3.600   0.407E-09   0.416E-09   0.441E-09   0.485E-09   0.550E-09   0.638E-09   0.752E-09   0.893E-09   0.106E-08   0.127E-08   0.151E-08
