# fe1_the_101_273_photoabs_h_SMLO.dat                    
#
# Z =101, A =273
#
# Parameters:  Er1 = 11.737,  Wr1 =  3.854,  S1 =   0.400,  Er2 = 12.934,  Wr2 =  4.205,  S2 =   0.800,  beta=  0.114
# No. of entries:  300
# Col 1: photon energy E in MeV
# Col 2-11: E1 photoabsorption PSF (fe1 in MeV^-3) for nucleus at the temperatures T=0-2 MeV
# Format: f9.3, 11e12.3
# Authors:  V.A.Plujko, O.M. Gorbachenko, K.M. Solodovnyk (TSNU)
#   E         T=0.0       T=0.2       T=0.4       T=0.6       T=0.8       T=1.0       T=1.2       T=1.4       T=1.6       T=1.8       T=2.0
    0.100   0.342E-10   0.198E-09   0.942E-09   0.278E-08   0.622E-08   0.118E-07   0.200E-07   0.315E-07   0.466E-07   0.659E-07   0.900E-07
    0.200   0.137E-09   0.354E-09   0.123E-08   0.325E-08   0.692E-08   0.128E-07   0.213E-07   0.331E-07   0.486E-07   0.684E-07   0.930E-07
    0.300   0.308E-09   0.565E-09   0.158E-08   0.378E-08   0.768E-08   0.138E-07   0.227E-07   0.348E-07   0.508E-07   0.710E-07   0.961E-07
    0.400   0.548E-09   0.836E-09   0.197E-08   0.436E-08   0.849E-08   0.149E-07   0.241E-07   0.366E-07   0.530E-07   0.737E-07   0.993E-07
    0.500   0.858E-09   0.117E-08   0.243E-08   0.499E-08   0.937E-08   0.161E-07   0.256E-07   0.385E-07   0.553E-07   0.765E-07   0.103E-06
    0.600   0.124E-08   0.158E-08   0.294E-08   0.569E-08   0.103E-07   0.173E-07   0.272E-07   0.405E-07   0.577E-07   0.794E-07   0.106E-06
    0.700   0.169E-08   0.205E-08   0.353E-08   0.646E-08   0.113E-07   0.186E-07   0.288E-07   0.425E-07   0.602E-07   0.824E-07   0.110E-06
    0.800   0.221E-08   0.261E-08   0.418E-08   0.729E-08   0.124E-07   0.200E-07   0.305E-07   0.446E-07   0.628E-07   0.854E-07   0.113E-06
    0.900   0.280E-08   0.323E-08   0.490E-08   0.819E-08   0.135E-07   0.214E-07   0.323E-07   0.468E-07   0.654E-07   0.886E-07   0.117E-06
    1.000   0.346E-08   0.393E-08   0.570E-08   0.917E-08   0.148E-07   0.229E-07   0.342E-07   0.491E-07   0.682E-07   0.919E-07   0.121E-06
    1.100   0.420E-08   0.471E-08   0.657E-08   0.102E-07   0.160E-07   0.245E-07   0.362E-07   0.515E-07   0.711E-07   0.954E-07   0.125E-06
    1.200   0.502E-08   0.556E-08   0.752E-08   0.113E-07   0.174E-07   0.262E-07   0.383E-07   0.540E-07   0.741E-07   0.989E-07   0.129E-06
    1.300   0.591E-08   0.650E-08   0.856E-08   0.126E-07   0.189E-07   0.280E-07   0.404E-07   0.566E-07   0.772E-07   0.103E-06   0.133E-06
